Character,EntityNumber,Description
,&#32;,Space
!,&#33;,Exclamation mark
"""",&#34;,Quotation mark
#,&#35;,Number sign
$,&#36;,Dollar sign
%,&#37;,Percent sign
&,&amp;,Ampersand
',&#39;,Apostrophe
(,&#40;,Opening/Left Parenthesis
),&#41;,Closing/Right Parenthesis
*,&#42;,Asterisk
+,&#43;,Plus sign
",",&#44;,Comma
-,&#45;,Hyphen
.,&#46;,Period
/,&#47;,Slash
0,&#48;,Digit 0
1,&#49;,Digit 1
2,&#50;,Digit 2
3,&#51;,Digit 3
4,&#52;,Digit 4
5,&#53;,Digit 5
6,&#54;,Digit 6
7,&#55;,Digit 7
8,&#56;,Digit 8
9,&#57;,Digit 9
:,&#58;,Colon
;,&#59;,Semicolon
<,&lt;,Less-than
=,&#61;,Equals sign
>,&gt;,Greater than
?,&#63;,Question mark
@,&#64;,At sign
A,&#65;,Uppercase A
B,&#66;,Uppercase B
C,&#67;,Uppercase C
D,&#68;,Uppercase D
E,&#69;,Uppercase E
F,&#70;,Uppercase F
G,&#71;,Uppercase G
H,&#72;,Uppercase H
I,&#73;,Uppercase I
J,&#74;,Uppercase J
K,&#75;,Uppercase K
L,&#76;,Uppercase L
M,&#77;,Uppercase M
N,&#78;,Uppercase N
O,&#79;,Uppercase O
P,&#80;,Uppercase P
Q,&#81;,Uppercase Q
R,&#82;,Uppercase R
S,&#83;,Uppercase S
T,&#84;,Uppercase T
U,&#85;,Uppercase U
V,&#86;,Uppercase V
W,&#87;,Uppercase W
X,&#88;,Uppercase X
Y,&#89;,Uppercase Y
Z,&#90;,Uppercase Z
[,&#91;,Opening/Left square bracket
\,&#92;,Backslash
],&#93;,Closing/Right square bracket
^,&#94;,Caret
_,&#95;,Underscore
`,&#96;,Grave accent
a,&#97;,Lowercase a
b,&#98;,Lowercase b
c,&#99;,Lowercase c
d,&#100;,Lowercase d
e,&#101;,Lowercase e
f,&#102;,Lowercase f
g,&#103;,Lowercase g
h,&#104;,Lowercase h
i,&#105;,Lowercase i
j,&#106;,Lowercase j
k,&#107;,Lowercase k
l,&#108;,Lowercase l
m,&#109;,Lowercase m
n,&#110;,Lowercase n
o,&#111;,Lowercase o
p,&#112;,Lowercase p
q,&#113;,Lowercase q
r,&#114;,Lowercase r
s,&#115;,Lowercase s
t,&#116;,Lowercase t
u,&#117;,Lowercase u
v,&#118;,Lowercase v
w,&#119;,Lowercase w
x,&#120;,Lowercase x
y,&#121;,Lowercase y
z,&#122;,Lowercase z
{,&#123;,Opening/Left curly brace
|,&#124;,Vertical bar
},&#125;,Closing/Right curly brace
~,&#126;,Tilde
,&#32;,Space
!,&#33;,Exclamation mark
"""",&#34;,Quotation mark
#,&#35;,Number sign
$,&#36;,Dollar sign
%,&#37;,Percent sign
&,&amp;,Ampersand
',&#39;,Apostrophe
(,&#40;,Opening/Left Parenthesis
),&#41;,Closing/Right Parenthesis
*,&#42;,Asterisk
+,&#43;,Plus sign
",",&#44;,Comma
-,&#45;,Hyphen
.,&#46;,Period
/,&#47;,Slash
0,&#48;,Digit 0
1,&#49;,Digit 1
2,&#50;,Digit 2
3,&#51;,Digit 3
4,&#52;,Digit 4
5,&#53;,Digit 5
6,&#54;,Digit 6
7,&#55;,Digit 7
8,&#56;,Digit 8
9,&#57;,Digit 9
:,&#58;,Colon
;,&#59;,Semicolon
<,&lt;,Less-than
=,&#61;,Equals sign
>,&gt;,Greater than
?,&#63;,Question mark
@,&#64;,At sign
A,&#65;,Uppercase A
B,&#66;,Uppercase B
C,&#67;,Uppercase C
D,&#68;,Uppercase D
E,&#69;,Uppercase E
F,&#70;,Uppercase F
G,&#71;,Uppercase G
H,&#72;,Uppercase H
I,&#73;,Uppercase I
J,&#74;,Uppercase J
K,&#75;,Uppercase K
L,&#76;,Uppercase L
M,&#77;,Uppercase M
N,&#78;,Uppercase N
O,&#79;,Uppercase O
P,&#80;,Uppercase P
Q,&#81;,Uppercase Q
R,&#82;,Uppercase R
S,&#83;,Uppercase S
T,&#84;,Uppercase T
U,&#85;,Uppercase U
V,&#86;,Uppercase V
W,&#87;,Uppercase W
X,&#88;,Uppercase X
Y,&#89;,Uppercase Y
Z,&#90;,Uppercase Z
[,&#91;,Opening/Left square bracket
\,&#92;,Backslash
],&#93;,Closing/Right square bracket
^,&#94;,Caret
_,&#95;,Underscore
`,&#96;,Grave accent
a,&#97;,Lowercase a
b,&#98;,Lowercase b
c,&#99;,Lowercase c
d,&#100;,Lowercase d
e,&#101;,Lowercase e
f,&#102;,Lowercase f
g,&#103;,Lowercase g
h,&#104;,Lowercase h
i,&#105;,Lowercase i
j,&#106;,Lowercase j
k,&#107;,Lowercase k
l,&#108;,Lowercase l
m,&#109;,Lowercase m
n,&#110;,Lowercase n
o,&#111;,Lowercase o
p,&#112;,Lowercase p
q,&#113;,Lowercase q
r,&#114;,Lowercase r
s,&#115;,Lowercase s
t,&#116;,Lowercase t
u,&#117;,Lowercase u
v,&#118;,Lowercase v
w,&#119;,Lowercase w
x,&#120;,Lowercase x
y,&#121;,Lowercase y
z,&#122;,Lowercase z
{,&#123;,Opening/Left curly brace
|,&#124;,Vertical bar
},&#125;,Closing/Right curly brace
~,&#126;,Tilde
&nbsp;,&#160;,
¡,&iexcl;,Inverted exclamation mark
¢,&cent;,Cent
£,&pound;,Pound
¤,&curren;,Currency
¥,&yen;,Yen
¦,&brvbar;,Broken vertical bar
§,&sect;,Section
¨,&uml;,Spacing diaeresis
©,&copy;,Copyright
ª,&ordf;,Feminine ordinal indicator
«,&laquo;,Opening/Left angle quotation mark
¬,&not;,Negation
­,&shy;,Soft hyphen
®,&reg;,Registered trademark
¯,&macr;,Spacing macron
°,&deg;,Degree
±,&plusmn;,Plus or minus
²,&sup2;,Superscript 2
³,&sup3;,Superscript 3
´,&acute;,Spacing acute
µ,&micro;,Micro
¶,&para;,Paragraph
¸,&cedil;,Spacing cedilla
¹,&sup1;,Superscript 1
º,&ordm;,Masculine ordinal indicator
»,&raquo;,Closing/Right angle quotation mark
¼,&frac14;,Fraction 1/4
½,&frac12;,Fraction 1/2
¾,&frac34;,Fraction 3/4
¿,&iquest;,Inverted question mark
×,&times;,Multiplication
÷,&divide;,Divide
&forall;,&#8704;,
∂,&part;,Part
∃,&exist;,Exist
∅,&empty;,Empty
∇,&nabla;,Nabla
∈,&isin;,Is in
∉,&notin;,Not in
∋,&ni;,Ni
∏,&prod;,Product
∑,&sum;,Sum
−,&minus;,Minus
∗,&lowast;,Asterisk (Lowast)
√,&radic;,Square root
∝,&prop;,Proportional to
∞,&infin;,Infinity
∠,&ang;,Angle
∧,&and;,And
∨,&or;,Or
∩,&cap;,Cap
∪,&cup;,Cup
∫,&int;,Integral
∴,&there4;,Therefore
∼,&sim;,Similar to
≅,&cong;,Congurent to
≈,&asymp;,Almost equal
≠,&ne;,Not equal
≡,&equiv;,Equivalent
≤,&le;,Less or equal
≥,&ge;,Greater or equal
⊂,&sub;,Subset of
⊃,&sup;,Superset of
⊄,&nsub;,Not subset of
⊆,&sube;,Subset or equal
⊇,&supe;,Superset or equal
⊕,&oplus;,Circled plus
⊗,&otimes;,Circled times
⊥,&perp;,Perpendicular
⋅,&sdot;,Dot operator
&Alpha;,&#913;,
Β,&Beta;,Beta
Γ,&Gamma;,Gamma
Δ,&Delta;,Delta
Ε,&Epsilon;,Epsilon
Ζ,&Zeta;,Zeta
Η,&Eta;,Eta
Θ,&Theta;,Theta
Ι,&Iota;,Iota
Κ,&Kappa;,Kappa
Λ,&Lambda;,Lambda
Μ,&Mu;,Mu
Ν,&Nu;,Nu
Ξ,&Xi;,Xi
Ο,&Omicron;,Omicron
Π,&Pi;,Pi
Ρ,&Rho;,Rho
Σ,&Sigma;,Sigma
Τ,&Tau;,Tau
Υ,&Upsilon;,Upsilon
Φ,&Phi;,Phi
Χ,&Chi;,Chi
Ψ,&Psi;,Psi
Ω,&Omega;,Omega
α,&alpha;,alpha
β,&beta;,beta
γ,&gamma;,gamma
δ,&delta;,delta
ε,&epsilon;,epsilon
ζ,&zeta;,zeta
η,&eta;,eta
θ,&theta;,theta
ι,&iota;,iota
κ,&kappa;,kappa
λ,&lambda;,lambda
μ,&mu;,mu
ν,&nu;,nu
ξ,&xi;,xi
ο,&omicron;,omicron
π,&pi;,pi
ρ,&rho;,rho
ς,&sigmaf;,sigmaf
σ,&sigma;,sigma
τ,&tau;,tau
υ,&upsilon;,upsilon
φ,&phi;,phi
χ,&chi;,chi
ψ,&psi;,psi
ω,&omega;,omega
ϑ,&thetasym;,Theta symbol
ϒ,&upsih;,Upsilon symbol
ϖ,&piv;,Pi symbol
Œ,&OElig;,Uppercase ligature OE
œ,&oelig;,Lowercase ligature OE
Š,&Scaron;,Uppercase S with caron
š,&scaron;,Lowercase S with caron
Ÿ,&Yuml;,Capital Y with diaeres
ƒ,&fnof;,Lowercase with hook
ˆ,&circ;,Circumflex accent
˜,&tilde;,Tilde
 ,&ensp;,En space
 ,&emsp;,Em space
 ,&thinsp;,Thin space
‌,&zwnj;,Zero width non-joiner
‍,&zwj;,Zero width joiner
‎,&lrm;,Left-to-right mark
‏,&rlm;,Right-to-left mark
–,&ndash;,En dash
—,&mdash;,Em dash
‘,&lsquo;,Left single quotation mark
’,&rsquo;,Right single quotation mark
‚,&sbquo;,Single low-9 quotation mark
“,&ldquo;,Left double quotation mark
”,&rdquo;,Right double quotation mark
„,&bdquo;,Double low-9 quotation mark
†,&dagger;,Dagger
‡,&Dagger;,Double dagger
•,&bull;,Bullet
…,&hellip;,Horizontal ellipsis
‰,&permil;,Per mille
′,&prime;,Minutes (Degrees)
″,&Prime;,Seconds (Degrees)
‹,&lsaquo;,Single left angle quotation
›,&rsaquo;,Single right angle quotation
‾,&oline;,Overline
€,&euro;,Euro
™,&trade;,Trademark
←,&larr;,Left arrow
↑,&uarr;,Up arrow
→,&rarr;,Right arrow
↓,&darr;,Down arrow
↔,&harr;,Left right arrow
↵,&crarr;,Carriage return arrow
⌈,&lceil;,Left ceiling
⌉,&rceil;,Right ceiling
⌊,&lfloor;,Left floor
⌋,&rfloor;,Right floor
◊,&loz;,Lozenge
♠,&spades;,Spade
♣,&clubs;,Club
♥,&hearts;,Heart
♦,&diams;,Diamond